title,department,subtier,office,type_name,solicitation_number,publish_date,response_date,is_active,set_aside,description,sam_url,awardee_name,award_amount
Fabrication and A/V Integration Services for LOCal Experience at Cleveland Public Library,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Combined Synopsis/Solicitation,030ADV26R0025,2026-03-18,2026-04-06,Active,,"3/18/26: Issued amnedment 2 to the solicitation. See 030ADV26R0025 0002 and the updated attachment J7 in the Attachments / Links section. 3/10/2026: Issued amendment 1 to the solicitation. See 030ADV26R0025 0001, attachment",https://sam.gov/opp/ef4b74c2cb1548bbb022d30f0a7f95e3/view,,
Notice of Intent to Sole Source -Bruker AmaZon MS Service Support Agreement,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Special Notice,2026-LGD-0060,2026-03-18,2026-04-02,Active,,"This is a public notice prepared in accordance with Federal Acquisition Regulation (FAR) 5.2 – Synopsis of Proposed Contract Actions. The Library of Congress, Contracts and Grants Directorate, intends to award a sole-source firm fixe",https://sam.gov/opp/8988da7b500749439d8f6b9684e16a1b/view,,
Laurel Fulfillment Services,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Acquisition Services,Special Notice,040ADV-26-R-0017-004,2026-03-18,2026-04-02,Active,,The purpose of this document is to extend the proposal page count limit from 75 pages to 100 pages.,https://sam.gov/opp/08b02648ea77422d9edd4a1fbe4f57fe/view,,
Government Publishing Office FM Modernization / Construction,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Acquisition Services,Special Notice,040ADV-26-R-0013-0002,2026-03-18,2026-03-30,Active,,This is the second amendment for the original notice of GPO's FM Modernization construction (040ADV-26-R-0013). This second and final amendment adds a question and response to the Q&A document and extends the proposal due date to 30 March,https://sam.gov/opp/0b0ef1e7fd934fd390e61d1ccf7989d3/view,,
Veterans History Project Anniversary Film,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Combined Synopsis/Solicitation,030ADV26Q0054,2026-03-17,2026-03-24,Active,,"Amendment 0002 provides the following: 1. A revised version of Attachment J3, the Q&A, which provides a revised response to questions 31 and 122. 2. A revised version of Section L, Past Performance which clarifies that offerors",https://sam.gov/opp/084b04b4f786437d87a59c34f1ff5646/view,,
Laurel Fulfillment Services,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Acquisition Services,Special Notice,040ADV-26-R-0017-003,2026-03-17,2026-04-02,Active,,"The purpose of this document is to respond to questions posed by potential offerers, attach supporting documents (Site Visit List, Sample Sign-in Sheet), provide a revised SOW and solicitation language, and the wage determinations. Thi",https://sam.gov/opp/ef03bc86eeea4292ab3f09b57927e083/view,,
Painting Frame Fabrication Services,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Solicitation,030ADV26Q0046,2026-03-16,2026-02-26,Inactive,,"The Library of Congress (LOC) Exhibits Office (EO) seeks a highly experienced museum exhibition Framer to create custom, conservation grade frames, acrylic glazing, and support components as needed, for paintings on canvas. Contractor must also fi",https://sam.gov/opp/66a7bad346a2498185e061b32ae2deaf/view,,
Disbursement Transaction Statements (DTS) Forms and IRS Information Returns.,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,5516s,2026-03-16,2026-03-25,Active,,"These specifications cover the production of the design & development of the Disbursement Transaction Statements (DTSs) printed, folded (or flat), & inserted into printed envelopes; and multiple different IRS Information Return",https://sam.gov/opp/372e8e3aef274c8cbe0e3ba77bec5d41/view,,
Library of Congress - Food Vending and Micro Market Services,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Combined Synopsis/Solicitation,030ADV26R0024,2026-03-16,2026-03-18,Active,,The purpose of Amendment 0002 is to: (1) Extend the due date for proposals; and (2) Advise vendors that multiple awards may be made as a result of this solicitation. (End of Amendment 0002). __________________,https://sam.gov/opp/ade2b8a2c3a240a39f4ae1a462cbf7d4/view,,
FY’26 SY27 2HSJ – FLAG CONTROL PACKAGE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,460-422,2026-03-16,2026-03-20,Active,,"A direct mail package consisting of Pictorial Window Envelope, Folded Insert and 2 versions of reply cards, printing 4- color process, Pantone 187C, Pantone 296C, Pantone 134C plus overall aqueous gloss varnish, see description.",https://sam.gov/opp/86dda32d4c1a4b80b0a8d3d8a49ed058/view,,
